id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15420,Rental unit in Edinburgh · ★4.97 · 1 bedroom · 1 bed · 1 bath,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95759,-3.18805,Entire home/apt,130,3,511,2023-09-03,3.32,1,16,79,
24288,Loft in Edinburgh · ★4.62 · 2 bedrooms · 2 beds · 1.5 baths,46498,Gordon,,"Canongate, Southside and Dumbiedykes",55.94498320836646,-3.185293348616568,Entire home/apt,91,3,286,2023-07-24,1.81,1,42,55,
48645,Condo in Edinburgh · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,221474,Mark,,"Canongate, Southside and Dumbiedykes",55.95072,-3.18305,Private room,129,2,979,2023-09-08,6.37,1,69,68,
51505,Rental unit in Edinburgh · ★4.76 · 2 bedrooms · 4 beds · 1 bath,236828,Francois,,New Town West,55.9548,-3.19641,Entire home/apt,170,4,51,2023-08-23,0.33,14,2,32,
54188,Boat in Edinburgh · ★4.61 · 3 bedrooms · 2 beds · 1.5 baths,253850,Natalie,,Dalry and Fountainbridge,55.94217,-3.20863,Entire home/apt,225,1,43,2022-07-03,0.32,3,175,0,
55881,Rental unit in Edinburgh · ★4.83 · 4 bedrooms · 5 beds · 1 bath,264345,Susie,,Hillside and Calton Hill,55.95935,-3.17713,Entire home/apt,245,2,332,2023-09-03,2.20,1,0,32,
58682,Rental unit in Edinburgh · ★4.92 · 4 bedrooms · 7 beds · 2 baths,281109,Rona,,Comely Bank,55.95508,-3.21625,Entire home/apt,213,4,158,2023-08-19,1.29,3,162,21,
65216,Rental unit in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 bath,318793,Sandy,,"Old Town, Princes Street and Leith Street",55.95011,-3.18748,Entire home/apt,100,365,102,2013-12-29,0.67,1,0,0,
74877,Loft in Edinburgh · ★4.75 · 2 bedrooms · 3 beds · 2 baths,394949,Derek,,North Leith and Newhaven,55.97785,-3.17872,Entire home/apt,151,2,158,2023-08-19,1.11,1,247,21,
93904,Rental unit in Edinburgh · ★4.89 · 1 bedroom · 1 bed · 1.5 baths,502783,Brett,,Deans Village,55.94571,-3.2189,Private room,76,1,618,2023-09-03,4.12,1,0,57,
97472,Rental unit in Edinburgh · ★4.50 · 2 bedrooms · 2 beds · 1 bath,486859,Alan,,Morningside,55.93,-3.20995,Entire home/apt,75,300,38,2021-08-30,0.26,1,72,0,
112625,Rental unit in Edinburgh · ★4.83 · 4 bedrooms · 5 beds · 1.5 baths,574430,Michele,,Meadows and Southside,55.93865,-3.1794,Entire home/apt,300,2,144,2023-08-28,0.97,1,56,18,
118314,Rental unit in Edinburgh · ★4.86 · 2 bedrooms · 3 beds · 1 bath,597415,Daniela,,Leith (Hermitage and Prospect Bank),55.96814,-3.16032,Entire home/apt,178,2,227,2023-08-19,1.52,10,213,18,
122930,Rental unit in Edinburgh · ★4.89 · 1 bedroom · 1 bed · 1 bath,615381,James,,Meadowbank and Abbeyhill North,55.95851,-3.17078,Entire home/apt,106,4,816,2023-09-06,5.60,2,273,56,
142356,Rental unit in Edinburgh · ★4.57 · 1 bedroom · 1 bed · 1 bath,691610,Simon,,New Town West,55.95743,-3.20036,Entire home/apt,150,4,58,2023-08-31,0.39,1,0,7,
159769,Rental unit in Edinburgh · 2 bedrooms · 2 beds · 2.5 baths,273097,Lyn,,Newington and Dalkeith Road,55.93802,-3.17812,Entire home/apt,1500,7,1,2017-01-03,0.01,2,362,0,
163870,Rental unit in Edinburgh · ★4.93 · 2 bedrooms · 3 beds · 1 bath,129153119,Anne,,The Shore and Constitution Street,55.97511,-3.17058,Entire home/apt,94,4,272,2023-09-06,1.85,1,4,71,
170756,Bed and breakfast in Edinburgh · ★4.87 · 1 bedroom · 1 bed · 2.5 baths,278168,Maureen,,Tollcross,55.94385,-3.20925,Private room,59,1,514,2023-09-08,3.52,1,6,131,
177944,Condo in Edinburgh · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,851172,Zeb David,,Leith (Albert Street),55.961548,-3.171129,Private room,76,3,34,2023-05-21,0.23,15,177,5,
180429,Condo in Edinburgh · ★4.49 · 1 bedroom · 1 bed · 1 shared bath,851172,Zeb David,,Leith (Albert Street),55.961548,-3.171129,Private room,99,2,76,2023-05-21,0.52,15,74,5,
197220,Rental unit in Edinburgh · 1 bedroom · 1 bed,960760,Carl,,Marchmont East and Sciennes,55.93757,-3.18762,Private room,85,1,1,2012-01-03,0.01,1,0,0,
214571,Rental unit in Edinburgh · ★4.61 · 3 bedrooms · 4 beds · 2 baths,1107698,Michael,,"Old Town, Princes Street and Leith Street",55.94909,-3.19033,Entire home/apt,227,2,327,2023-08-27,2.29,1,175,54,
216245,Rental unit in Edinburgh · ★4.42 · 2 bedrooms · 5 beds · 2 baths,173941,Neil,,Dalry and Fountainbridge,55.94392,-3.22007,Entire home/apt,216,2,35,2023-08-26,0.25,5,9,2,
229494,Condo in Edinburgh · ★4.85 · 1 bedroom · 2 beds · 1 shared bath,1198626,Sally,,Newington and Dalkeith Road,55.94232,-3.17771,Private room,79,3,618,2023-08-24,4.26,1,270,51,
233839,Home in Edinburgh · ★4.75 · 1 bedroom · 1 bed · 1 bath,992589,Angie,,Drylaw,55.96401,-3.24772,Private room,30,2,398,2023-08-21,3.00,1,139,67,
241511,Rental unit in Edinburgh · ★4.73 · 1 bedroom · 2 beds · 1 shared bath,1267059,David,,Broughton South,55.96497,-3.18745,Private room,34,1,194,2020-03-08,1.36,1,0,0,
256783,Rental unit in Edinburgh · ★4.81 · 1 bedroom · 1 bed · 1 shared bath,273097,Lyn,,Newington and Dalkeith Road,55.93966,-3.1769,Private room,79,2,358,2023-09-07,2.48,2,100,34,
286315,Condo in Edinburgh · ★4.89 · 2 bedrooms · 2 beds · 1 shared bath,1490036,Mohsinah,,Marchmont West,55.93816,-3.19573,Private room,105,3,29,2023-08-28,0.20,1,57,3,
307715,Rental unit in Edinburgh · ★4.76 · 1 bedroom · 1 bed · 1 bath,1583173,Yvonne,,"Old Town, Princes Street and Leith Street",55.94877,-3.19564,Entire home/apt,287,3,207,2023-08-18,1.47,1,20,13,
317080,Condo in Edinburgh · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,1510582,Vroni,,Tollcross,55.94302,-3.20228,Private room,51,4,120,2023-08-18,0.85,1,0,23,
327159,Rental unit in Edinburgh · ★4.81 · 1 bedroom · 1 bed · 1 bath,1672688,Maggie,,"Old Town, Princes Street and Leith Street",55.94688,-3.19712,Entire home/apt,160,1,75,2019-05-21,0.54,2,365,0,
327161,Condo in Edinburgh · ★4.53 · 3 bedrooms · 5 beds · 2 baths,1672688,Maggie,,"Old Town, Princes Street and Leith Street",55.94771,-3.18458,Entire home/apt,152,3,81,2023-06-11,0.62,2,355,7,
340452,Rental unit in Edinburgh · ★4.95 · 1 bedroom · 1 bed · 1 bath,1727489,Roland,,Hillside and Calton Hill,55.95956,-3.18015,Entire home/apt,82,2,731,2023-08-24,5.22,1,23,85,
352432,Rental unit in Edinburgh · ★4.70 · 3 bedrooms · 4 beds · 2 baths,1784753,Pamela,,Deans Village,55.94837,-3.22108,Entire home/apt,244,3,134,2023-09-02,0.99,1,16,27,
355938,Rental unit in Edinburgh · ★4.81 · 2 bedrooms · 3 beds · 1 bath,1801836,Shahid,,"Old Town, Princes Street and Leith Street",55.94929,-3.18991,Entire home/apt,251,2,148,2023-09-06,1.08,4,196,14,
356028,Rental unit in Edinburgh · ★4.88 · 1 bedroom · 1 bed · 1 bath,1802110,Deanna,,Bonnington,55.97228,-3.18869,Entire home/apt,95,5,34,2023-08-11,0.25,1,0,1,
361050,Condo in Edinburgh · ★4.94 · 1 bedroom · 2 beds · 2 shared baths,1825119,Anne,,Bruntsfield,55.93995,-3.20736,Private room,70,3,95,2023-07-17,0.69,1,182,19,
363642,Home in Edinburgh · ★4.86 · 1 bedroom · 1 bed · 2.5 shared baths,1837147,Wendy,,Comiston and Swanston,55.90862,-3.21216,Private room,400,2,68,2019-11-06,0.50,1,0,0,
388297,Villa in Edinburgh · ★4.75 · 2 bedrooms · 3 beds · 2 baths,1942840,Yvonne,,Willowbrae and Duddingston Village,55.95271,-3.14898,Entire home/apt,201,7,100,2023-08-13,0.74,3,166,12,
389318,Townhouse in Edinburgh · ★4.87 · 1 bedroom · 1 bed · 1 private bath,1947854,Rona,,Meadows and Southside,55.94313,-3.1808,Private room,75,2,438,2023-09-05,3.14,1,22,43,
391558,Condo in Edinburgh · ★4.96 · 1 bedroom · 1 bed · 1 bath,1958301,Joanne,,"Old Town, Princes Street and Leith Street",55.95758,-3.18844,Entire home/apt,143,3,84,2023-09-08,0.62,1,144,28,
391610,Condo in Edinburgh · ★4.93 · 1 bedroom · 1 bed · 1.5 baths,1958560,Harriet,,Shandon,55.93106,-3.23188,Private room,66,3,547,2023-08-27,3.92,2,0,62,
391611,Condo in EDINBURGH · ★4.82 · 1 bedroom · 2 beds · 1 shared bath,1958560,Harriet,,Shandon,55.93281,-3.23095,Private room,54,2,194,2023-08-27,1.39,2,0,14,
404888,Rental unit in Edinburgh · ★4.83 · 1 bedroom · 1 bed · 1 bath,1699475,Fiona,,Abbeyhill,55.95426,-3.16724,Entire home/apt,110,3,34,2023-09-01,0.25,1,13,9,
405790,Rental unit in Edinburgh · ★4.57 · 2 bedrooms · 3 beds · 1 bath,1947266,John,,"Old Town, Princes Street and Leith Street",55.95006,-3.19234,Entire home/apt,156,3,113,2023-06-04,0.88,1,9,7,
408831,Home in Edinburgh · ★4.90 · 1 bedroom · 1 bed · 1 private bath,2035652,Liz,,Comiston and Swanston,55.90126,-3.22007,Private room,55,3,95,2023-09-09,0.71,2,13,10,
419487,Rental unit in Edinburgh · ★4.75 · Studio · 1 bed · 1 bath,2084557,Rachel,,"Old Town, Princes Street and Leith Street",55.95044,-3.19512,Entire home/apt,134,3,201,2023-08-29,1.78,1,1,50,
426766,Home in Edinburgh · ★4.76 · 1 bedroom · 1 bed · 1 bath,1961072,Javed,,Craigmillar,55.92816,-3.15506,Private room,95,1,147,2023-09-09,1.06,2,343,26,
426770,Home in Edinburgh · ★4.92 · 1 bedroom · 1 bed · 1 bath,1961072,Javed,,Prestonfield,55.92871,-3.15521,Private room,76,1,113,2023-09-09,0.82,2,345,27,
428822,Guest suite in Edinburgh · ★4.93 · 2 bedrooms · 3 beds · 1 private bath,2131536,Carmela,,"Barnton, Cammo and Cramond South",55.96144,-3.3124,Private room,100,3,237,2020-01-02,2.74,1,0,0,
442465,Rental unit in Edinburgh · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,851172,Zeb David,,Easter Road and Hawkhill Avenue,55.96074,-3.17009,Private room,64,14,7,2022-09-10,0.05,15,30,0,
447206,Rental unit in Edinburgh · ★4.75 · 1 bedroom · 1 bed · 1 bath,2220775,Eva,,Abbeyhill,55.95561,-3.16749,Private room,37,2,792,2023-09-08,5.73,4,1,62,
449083,Condo in Edinburgh · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,565761,Noël,,Abbeyhill,55.957,-3.16707,Private room,57,1,132,2023-09-09,2.13,1,14,66,
450745,Rental unit in Edinburgh · ★4.95 · 2 bedrooms · 2 beds · 1 bath,2238338,Jen,,Newington and Dalkeith Road,55.94195920368399,-3.1789784590201173,Entire home/apt,181,2,216,2023-09-02,2.77,1,39,47,
458510,Rental unit in Edinburgh · ★4.86 · 1 bedroom · 1 bed · 1 bath,2280137,Gill,,Deans Village,55.95296,-3.20537,Entire home/apt,150,4,279,2023-08-28,2.03,12,3,37,
480324,Rental unit in Edinburgh · ★4.84 · 3 bedrooms · 5 beds · 2.5 baths,2378566,Heather,,North Leith and Newhaven,55.97637,-3.17675,Entire home/apt,150,2,90,2023-08-11,0.83,2,24,20,
485856,Rental unit in Edinburgh · ★4.75 · 2 bedrooms · 4 beds · 1 bath,2404912,Carol,,"Canongate, Southside and Dumbiedykes",55.95222,-3.1770599,Entire home/apt,150,2,506,2023-08-21,3.73,3,31,70,
497140,Rental unit in Edinburgh · ★4.69 · 1 bedroom · 2 beds · 1 bath,2452990,Barry,,Gorgie East,55.93864,-3.23089,Entire home/apt,95,3,63,2023-09-04,0.46,1,0,1,
500696,Rental unit in Edinburgh · ★4.73 · 1 bedroom · 1 bed · 1 bath,224444157,Sue And Grant,,Tollcross,55.94451,-3.2036,Entire home/apt,102,3,349,2023-08-27,2.54,22,12,58,
509191,Condo in Edinburgh · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,851172,Zeb David,,Easter Road and Hawkhill Avenue,55.961281,-3.171197,Private room,64,2,31,2023-06-13,0.23,15,123,10,
513895,Rental unit in Edinburgh · ★4.91 · 2 bedrooms · 2 beds · 1.5 baths,2531629,Karyn,,Deans Village,55.95005,-3.21074,Entire home/apt,236,2,135,2023-08-21,1.36,1,57,13,
516445,Condo in Edinburgh · ★4.74 · 2 bedrooms · 2 beds · 2 baths,1801836,Shahid,,"Canongate, Southside and Dumbiedykes",55.95101,-3.17653,Entire home/apt,225,2,194,2023-09-05,1.44,4,206,13,
